"CONTRATO","PNCP_PROCESSO","EMPRESA","Processo do pagamento","É ATA?","POSSUI ADITIVO?","TIPO DE ADITIVO","VIGÊNCIA","VALOR DO CONTRATO","VALOR LIQUIDADO","SALDO"
"033","05055033000152-1-000074/2025","DISTRIBUIDORA MESQUITA LTDA","8281-2025-SEMEC","Não","Não","-","05/06/2025 a 04/06/2026","124","0","124"
"034","05055009000628-1-000001/2024","COMPANHIA DE SANEAMENTO DO PARA","597/2024-GMB","Não","Sim","Valor","01/01/2025 a 01/01/2035","44000","0","44000"
"034","05055033000152-1-000068/2025","TECH MINAS DIGITAL LTDA","307-2025-SEMEC","Não","Não","-","10/06/2025 a 09/06/2027","7000","0","7000"
"035","05055033000152-1-000075/2025","REPREMIG REPRESENTACAO E COMERCIO DE MINAS GERAIS LTDA","9659-2025-SEMEC","Não","Não","-","17/06/2025 a 16/06/2026","29571.1","0","29571.1"
"036","05055033000152-1-000089/2025","MAQMOVEIS INDUSTRIA E COMERCIO DE MOVEIS LTDA.","7240-2025-SEMEC","Não","Não","-","30/06/2025 a 02/03/2026","2042500","0","2042500"
"037","05055033000152-1-000014/2025","ANA PAULA RODRIGUES PANTOJA DA CRUZ","2728-2025-SEMEC","Não","Não","-","18/03/2025 a 17/03/2026","0","0","0"
"037","05055033000152-1-000090/2025","JORIVALDO VALE FREITAS","5079-2025-SEMEC","Não","Não","-","01/07/2025 a 30/06/2027","228000","0","228000"
"038","05055033000152-1-000091/2025","CONSORCIO AMBAR","8826-2025-SEMEC","Sim","Não","-","01/08/2025 a 31/07/2026","83835182.5","0","83835182.5"
"039","05055033000152-1-000084/2025","CGM MANUTENCAO ELETRICA LTDA.","10769-2025-SEMEC","Sim","Não","-","17/07/2025 a 16/07/2026","41354473.14","0","41354473.14"
"04","05055033000152-1-000004/2025","SIMONE MIRANDA PRADO","16956-2024","Não","Não","-","03/01/2025 a 03/01/2027","556396.56","0","556396.56"
"04","05055033000152-1-000044/2025","LUCIA DE FATIMA DO NASCIMENTO","3958-2025-SEMEC","Não","Não","-","16/04/2025 a 30/09/2025","4688290.89","0","4688290.89"
"040","05055033000152-1-000086/2025","SOUZA WEISS EQUIPAMENTOS ELETRICOS LTDA","11058-2025-SEMEC","Sim","Não","-","25/07/2025 a 24/07/2026","4818550","0","4818550"
"041","05055033000152-1-000092/2025","FABIO LIMA DA SILVA","3149-2025-SEMEC","Não","Não","-","01/08/2025 a 31/07/2027","288000","0","288000"
"044","05055033000152-1-000028/2025","EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.","1763-2025-SEMEC","Não","Não","-","05/03/2025 a 04/03/2026","8925000","0","8925000"
"044","05055033000152-1-000113/2025","FUNDACAO CENTRO DE POLITICAS PUBLICAS E AVALIACAO DA EDUCACAO - FUNDACAO CAED"," 12379/2025 – SEMEC","Não","Não","-","22/09/2025 a 21/09/2026","339890","0","339890"
"046","05055033000152-1-000027/2024","COMPANHIA DE SANEAMENTO DO PARA","1124-2024-SEMEC","Não","Não","-","25/11/2024 a 02/03/2025","679500","0","679500"
"046","05055033000152-1-000040/2025","COMPANHIA DE SANEAMENTO DO PARA","1613-2025-SEMEC","Não","Sim","Valor","05/03/2025 a 04/03/2026","3397500","0","3397500"
"047","05055033000152-1-000115/2025","JEYTECH INDUSTRIA TECNOLOGIA E INOVACAO LTDA","12234/2025 – SEMEC","Sim","Não","-","23/09/2025 a 22/09/2026","1355760","0","1355760"
"050","05055033000152-1-000031/2025","AUCEVAS ADMINISTRACAO DE IMOVEIS LTDA","4542-2025-SEMEC","Não","Não","-","01/04/2025 a 30/10/2025","90000","0","90000"
"054","05055033000152-1-000116/2025","MAPDATA-TECNOLOGIA,INFORMATICA E COMERCIO LTDA","13.319/2025 – SEMEC","Sim","Não","-","23/09/2025 a 31/12/2025","723803.2","0","723803.2"
"06","05055033000152-1-000122/2025","MANFRED CHAGAS GRAIN","14.174/2024 - SEMEC","Não","Sim","Valor","06/02/2025 a 29/10/2025","357777.36","0","357777.36"
"07","59870569000150-1-000004/2025","SUPER LICITE LICITACOES LTDA","380/2025-SEMU","Não","Não","-","09/12/2025 a 09/01/2026","11038.3","0","11038.3"
"09/2025","05065644000181-1-000007/2025","ASSOCIACAO LUZ DA FRATERNIDADE","2966/2025","Não","Não","-","02/07/2025 a 02/05/2026","62000","0","62000"
"1 TA - CONT 003","05055033000152-1-000118/2025","COOPERATIVA DOS AGRICULTORES FAMILIARES DE BELEM COOP BELEM","12239/2025 – SEMEC","Não","Sim","Prazo/Outros","09/09/2025 a 31/12/2025","454110","0","454110"
"1 TA - CONT 004","05055033000152-1-000119/2025","COOPERATIVA AGROPECUARIA DO SALGADO PARAENSE - CASP","12243/2025 – SEMEC","Não","Sim","Prazo/Outros","08/09/2025 a 01/01/2026","33455","0","33455"
"1 TA - CONT 036","05055033000152-1-000131/2025","MAQMOVEIS INDUSTRIA E COMERCIO DE MOVEIS LTDA.","18.711/2025","Não","Sim","Prazo/Outros","23/12/2025 a 03/02/2026","510625","0","510625"
"1 TA - CONT. 085","05055033000152-1-000120/2025","COMPANHIA DE TRANSFORMACAO DIGITAL DO MUNICIPIO DE BELEM - BELEM DIGITAL","13.846/2025 – SEMEC","Não","Sim","Prazo/Outros","25/10/2025 a 24/10/2026","315240","0","315240"
"10/2025","05065644000181-1-000008/2025","PROSPERA SERVICE LTDA","6159/2025","Não","Não","-","07/07/2025 a 06/01/2026","4255680","0","4255680"
"11","05055033000152-1-000013/2025","FRANCISCO ALTAMIR DAS CHAGAS MOREIRA DE FREITAS","17973-2024-SEMEC","Não","Não","-","06/01/2025 a 06/01/2025","63036","0","63036"
"110","05055033000152-1-000029/2025","BELEM RIO SEGURANCA LTDA","2158-2025-SEMEC","Não","Não","-","31/03/2025 a 30/09/2025","1759367.28","0","1759367.28"
"11º ATA","05055033000152-1-000099/2025","LC COMERCIAL LTDA","8858/2023 - SEMEC","Sim","Sim","Prazo/Outros","12/08/2025 a 12/08/2026","0","0","0"
"12/2025","05065644000181-1-000002/2025","EDILSON AURELIO DE MOURA PALHA","4101/2025","Não","Não","-","03/10/2025 a 02/10/2026","87600","0","87600"
"1281","05055033000152-1-000078/2025","52.950.079 DANIELE DINIZ LOPES","13151/2024 - SEMEC","Não","Não","-","11/06/2025 a 30/12/2025","5454.4","0","5454.4"
"12º ATA","05055033000152-1-000100/2025","BRUMO ESPORTES LTDA","8858/2023 - SEMEC","Sim","Sim","Prazo/Outros","12/08/2025 a 12/08/2026","103462.8","0","103462.8"
"13","05055009000628-1-000005/2025","WPP - COMERCIO DE MOTOS LTDA.","1094/2025-GMB","Não","Sim","Valor","05/09/2025 a 05/09/2026","19258.59","0","19258.59"
"13º ATA","05055033000152-1-000102/2025","SR REPRESENTACOES E COMERCIO DE MATERIAIS ESPORTIVOS LTDA","8858/2023 - SEMEC","Sim","Sim","Prazo/Outros","12/08/2025 a 12/08/2026","390912","0","390912"
"14/2025","05065644000181-1-000003/2025","RA CONSULTORIA, RESPONSABILIDADE & SUSTENTABILIDADE SOCIAL LTDA","7286/2025","Não","Não","-","26/09/2025 a 25/09/2026","372000","0","372000"
"14º ATA","05055033000152-1-000103/2025","2S COMERCIO E SERVICOS LTDA","8858/2023 - SEMEC","Sim","Sim","Prazo/Outros","12/08/2025 a 12/08/2026","10916.5","0","10916.5"
"16/2025","05065644000181-1-000006/2025","OSVALDO RODRIGUES BRAZ","3931/2025","Não","Não","-","24/10/2025 a 24/10/2026","200000","0","200000"
"188","05055033000152-1-000002/2025","UNIAO NACIONAL DOS DIRIGENTES MUNICIPAIS DE EDUCACAO","873/2025","Não","Não","-","30/01/2025 a 31/12/2025","10518","0","10518"
"194","09551008000110-1-000002/2025","MVM ENGENHARIA LTDA","233/2025","Não","Não","-","22/09/2025 a 21/10/2025","22383.38","0","22383.38"
"1º TA- 069","05055033000152-1-000067/2025","ASSOCIACAO DAS SENHORAS DOS ROTARIANOS DO R C ICOARACY","9388-2025-SEMEC","Não","Sim","Valor","06/06/2025 a 05/06/2027","298328.64","0","298328.64"
"1º TA-049","05055033000152-1-000047/2025","NP TECNOLOGIA E GESTAO DE DADOS LTDA","7061-2025-SEMEC","Não","Sim","Prazo/Outros","01/05/2025 a 30/04/2026","23920","0","23920"
"1º TA - 007","05055033000152-1-000098/2025","COOPERATIVA AGROINDUSTRIAL FRUTOS DA AMAZONIA - COAFRA","12.247/2025 - SEMEC","Não","Sim","Prazo/Outros","01/09/2025 a 02/01/2026","0","0","0"
"1º TA - 008","05055033000152-1-000080/2025","BRASIL COMERCIO E DISTRIBUIDORA LTDA","10885/2025-SEMEC","Não","Sim","Valor","11/07/2025 a 27/03/2026","609930.69","0","609930.69"
"1º TA - 010","05055033000152-1-000088/2025","EBN COMERCIO, IMPORTACAO E EXPORTACAO LTDA","11369-2025-SEMEC","Não","Sim","Prazo/Outros","30/07/2025 a 27/03/2026","1299123.56","0","1299123.56"
"1º TA - 023","05055033000152-1-000016/2025","S.O.S. SERVICOS OPERACIONAIS DE SANEAMENTO LTDA","4021-2025-SEMEC","Não","Sim","Valor","24/03/2025 a 23/03/2026","700000","0","700000"
"1º TA - 068","05055033000152-1-000054/2025","ARTUR CARLOS DE OLIVEIRA SILVA JUNIOR","9163-2025-SEMEC","Não","Sim","Prazo/Outros","22/05/2025 a 22/05/2027","141832.08","0","141832.08"
"1º TA - 082","05055033000152-1-000095/2025","AUCEVAS ADMINISTRACAO DE IMOVEIS LTDA","12.444/2025 - SEMEC","Não","Sim","Prazo/Outros","21/08/2025 a 22/08/2026","180000","0","180000"
"1º TA 005","05055033000152-1-000105/2025","MURININ?TAIASSUI - COOPERATIVA AGROINDUSTRIAL FAMILIAR DE BENEVIDES E REGIAO","12245/2025","Não","Sim","Prazo/Outros","08/09/2025 a 01/01/2026","68490","0","68490"
"2025- 170401","59815458000141-1-000002/2025","TEVX MOTORS GROUP LTDA","1960/2025 ","Sim","Não","-","23/04/2025 a 22/10/2025","44150","0","44150"
"2025- 290401","59815458000141-1-000003/2025","LM TRANSPORTE E NAVEGACAO LTDA","4878/2025 ","Não","Não","-","30/04/2025 a 29/04/2026","2204496","0","2204496"
"2025-040801","59815458000141-1-000005/2025","RADIO POINT SERVICOS DE TELECOMUNICACOES LTDA","803/2025 ","Não","Não","-","05/08/2025 a 04/08/2026","50752.32","0","50752.32"
"2025-070401","59815458000141-1-000001/2025","AUTO LANCE PATIO E LEILOES LTDA","4108/2025","Não","Não","-","07/04/2025 a 08/04/2025","4876118.79","0","4876118.79"
