"CONTRATO","PNCP_PROCESSO","EMPRESA","Processo do pagamento","É ATA?","POSSUI ADITIVO?","TIPO DE ADITIVO","VIGÊNCIA","VALOR DO CONTRATO","VALOR LIQUIDADO","SALDO"
"4º TA - 043","05055033000152-1-000083/2025","GIBSON & REGIO LTDA","9911/2025 – SEMEC.","Não","Sim","Valor","14/07/2025 a 13/07/2026","253459.92","0","253459.92"
"53","05055033000152-1-000001/2026","C S L EMPREENDIMENTOS LTDA","11.942/2025 – SEMEC","Não","Não","-","23/09/2025 a 22/09/2027","300053.04","0","300053.04"
"59","05055033000152-1-000121/2025","EDSON MAGNO FARIAS DO NASCIMENTO","15186/2025 - SEMEC","Não","Não","-","03/11/2025 a 02/11/2027","209906.16","0","209906.16"
"5º TA - 03","05055033000152-1-000052/2025","COOPERATIVA DOS PRODUTORES AGROEXTRATIVISTAS E DOS BARQUEIROS DO PARA","3948-2025-SEMEC","Não","Sim","Prazo/Outros","13/05/2025 a 20/09/2025","1535961.42","0","1535961.42"
"63","05055033000152-1-000124/2025","POSITIVO TECNOLOGIA S.A.","17627/2025 - SEMEC","Não","Não","-","15/12/2025 a 16/06/2026","42340","0","42340"
"64","05055033000152-1-000128/2025","SOLIDA NUTRICAO LTDA","12759/2025 - SEMEC","Sim","Não","-","15/12/2025 a 16/12/2026","65899440","0","65899440"
"65","05055033000152-1-000127/2025","RC NUTRY ALIMENTACAO LTDA","12759/2025 - SEMEC","Sim","Sim","Valor","16/12/2025 a 17/12/2026","44400000","0","44400000"
"66","05055033000152-1-000129/2025","MAQMOVEIS INDUSTRIA E COMERCIO DE MOVEIS LTDA.","17742/2025 - SEMEC","Sim","Não","-","17/12/2025 a 17/12/2026","39903145","0","39903145"
"67","05055033000152-1-000130/2025","X MOLD LTDA","6235/2025 - SEMEC","Não","Sim","Valor","19/12/2025 a 18/12/2026","61094700","0","61094700"
"68","05055033000152-1-000132/2025","VALE COMERCIO DE PRODUTOS PARA EDUCACAO LTDA","17311/2025 - SEMEC","Sim","Não","-","30/12/2025 a 30/12/2026","8459521.58","0","8459521.58"
"69","05055033000152-1-000133/2025","RICKMANN CONFECCOES LTDA","18901/2025 - SEMEC","Sim","Não","-","30/12/2025 a 30/12/2026","19698430.4","0","19698430.4"
"6º TA 003","05055033000152-1-000112/2025","COOPERATIVA DOS PRODUTORES AGROEXTRATIVISTAS E DOS BARQUEIROS DO PARA","12328/2025 - SEMEC","Não","Sim","Prazo/Outros","20/09/2025 a 18/09/2026","1535961.42","0","1535961.42"
"9912368655","59815458000141-1-000012/2025","EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS","7869/2025","Não","Não","-","29/12/2025 a 29/12/2026","3216000","0","3216000"
